login,full_name,created_at,pushed_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
chrisgrieser,chrisgrieser/nvim-rip-substitute,2024-06-04T19:27:56Z,2024-10-26T14:31:58Z,185,185,Lua,true,true,mit
janeczku,janeczku/calibre-web,2015-08-02T19:01:42Z,2024-10-26T14:08:51Z,12919,12919,Fluent,true,true,gpl-3.0
thyrlian,thyrlian/cryonics,2013-12-16T21:02:51Z,2024-10-26T13:29:48Z,3,3,JavaScript,true,true,other
kianenigma,kianenigma/kianenigma.github.io,2023-08-26T13:28:41Z,2024-10-26T13:16:57Z,2,2,SCSS,true,true,
devonestes,devonestes/deck_manager,2023-10-23T07:29:37Z,2024-10-26T13:01:21Z,0,0,Elixir,true,true,
wolfv,wolfv/rattler-build,2023-04-19T06:05:23Z,2024-10-26T12:59:20Z,0,0,Rust,true,true,bsd-3-clause
floooh,floooh/sokol-tools,2019-04-10T08:25:56Z,2024-10-26T12:51:48Z,229,229,C++,true,true,mit
chrisgrieser,chrisgrieser/nvim-genghis,2022-11-21T12:41:49Z,2024-10-26T12:48:58Z,201,201,Lua,true,true,mit
wix,wix/wix-classes-subscriptions-nextjs-template,2023-03-28T15:12:04Z,2024-10-26T12:30:41Z,20,20,TypeScript,true,true,mit
dereuromark,dereuromark/cakephp-queue-scheduler,2023-10-18T00:48:03Z,2024-10-26T12:22:15Z,6,6,PHP,false,true,mit
dereuromark,dereuromark/cron-expression,2024-10-26T12:01:49Z,2024-10-26T12:12:05Z,1,1,,true,true,mit
vadorovsky,vadorovsky/agave,2024-04-19T16:40:01Z,2024-10-26T12:06:20Z,0,0,Rust,true,true,apache-2.0
wix,wix/wix-headless-example,2023-05-01T05:10:38Z,2024-10-26T10:57:16Z,14,14,JavaScript,true,true,mit
chrisgrieser,chrisgrieser/shimmering-obsidian,2021-08-22T15:41:18Z,2024-10-26T10:21:03Z,849,849,JavaScript,false,false,mit
chrxh,chrxh/alien,2020-10-19T15:59:01Z,2024-10-26T10:12:38Z,4884,4884,C++,true,true,bsd-3-clause
chrisgrieser,chrisgrieser/shimmering-focus,2021-08-27T19:23:29Z,2024-10-26T09:16:14Z,500,500,CSS,false,false,mit
wix,wix/wix-appointments-subscriptions-nextjs-template,2023-02-08T08:57:13Z,2024-10-26T09:14:20Z,38,38,TypeScript,true,true,mit
alfredfrancis,alfredfrancis/german-driving-theory-flashcards,2024-09-02T07:42:22Z,2024-10-26T09:02:45Z,0,0,JavaScript,true,true,
wix,wix/wix-cms-nextjs-template,2023-03-28T13:48:29Z,2024-10-26T08:14:36Z,37,37,HTML,true,true,mit
arianvp,arianvp/nixos-stuff,2018-08-23T15:37:27Z,2024-10-26T08:08:36Z,24,24,HTML,true,true,mit
arianvp,arianvp/auth,2022-08-07T07:07:45Z,2024-10-26T08:01:35Z,3,3,Go,true,true,apache-2.0
atilafassina,atilafassina/apex-monorepo,2022-09-23T10:50:56Z,2024-10-26T07:54:57Z,27,27,TypeScript,false,false,
slint-ui,slint-ui/slint,2020-05-04T08:53:03Z,2024-10-26T07:39:54Z,17419,17419,Rust,true,false,other
PurpleBooth,PurpleBooth/common-pipelines,2021-10-05T17:17:17Z,2024-10-26T07:27:46Z,1,1,Rust,true,true,cc0-1.0
wix,wix/app-template-custom-shipping-rates,2024-02-28T11:06:07Z,2024-10-26T05:42:39Z,4,4,TypeScript,true,true,mit
Skn0tt,Skn0tt/one-click-hugo-cms,2021-03-08T06:36:45Z,2024-10-26T05:30:30Z,0,0,CSS,true,true,mit
camunda,camunda/camunda-platform,2022-04-12T01:40:52Z,2024-10-26T04:40:45Z,344,344,Go,false,false,
PurpleBooth,PurpleBooth/utility-container-nop,2023-10-11T12:37:49Z,2024-10-26T04:19:24Z,1,1,Dockerfile,true,true,unlicense
opf,opf/openproject,2012-11-28T09:59:11Z,2024-10-26T03:08:37Z,9345,9345,Ruby,false,false,gpl-3.0
DenisovAV,DenisovAV/flutter_gemma,2024-04-02T11:20:10Z,2024-10-26T02:34:02Z,43,43,Dart,true,true,mit
asaaki,asaaki/hello-world-docker-action,2021-03-17T21:49:52Z,2024-10-26T02:31:46Z,0,0,Rust,false,false,mit
